BM25_TA,BM25_FT,COSINE_TA,COSINE_FT,PMRA_TA,PMRA_FT
0.086495111,0.110710426,0.463737883,0.850121691,0.674787083,0.233220085
0.015475272,0.059688945,0.003937377,0.00512589,0.432152305,0.001173171
0.09633216,0.175588964,0.444121943,0.80102766,0.528053951,0.200452613
0.083399814,0.13296573,0.223266113,0.602170074,0.428586366,0.219542599
0.088783207,0.125648477,0.288572528,0.704907167,0.562396403,0.199724008
0.093533235,0.125596743,0.392364945,0.737548334,0.465939138,0.172721688
0.086455535,0.140493579,0.149139625,0.289006518,0.464861234,0.144053259
0.077245851,0.111342396,0.374255351,0.637537488,0.593253005,0.172835995
0.084471258,0.130649675,0.220313242,0.310324021,0.521281937,0.127542425
0.07507299,0.115050578,0.191348754,0.379443148,0.405463617,0.120618418
0.083290535,0.092697493,0.219067109,0.639463979,0.613168377,0.127652032
0.100462345,0.123404533,0.273668694,0.521364712,0.508761986,0.166155473
0.06690865,0.092893736,0.277606353,0.697643206,0.509500742,0.232971365
0.096617938,0.091721759,0.234881884,0.655723609,0.638462449,0.187947043
0.079699708,0.133428759,0.466088267,0.805396445,0.6584331,0.159726085
0.081449352,0.13222176,0.220265769,0.71833668,0.476744555,0.177514138
0.080006004,0.127325698,0.166661668,0.478054241,0.491566189,0.128917779
0.083615499,0.105881955,0.342188128,0.826139499,0.615409236,0.213584585
0.008007806,0.09570961,0.000276204,0.768119629,0.397238699,0.297643375
0.084207917,0.114391023,0.334014465,0.778064806,0.56959589,0.285922996
0.067542142,0.119420958,0.274771585,0.315239593,0.567356777,0.166004569
0.073989289,0.112246524,0.43639519,0.815545328,0.614211171,0.197895749
0.090127986,0.124674583,0.459251682,0.838153543,0.7021888,0.226435985
0.117889136,0.129480686,0.068888365,0.822145507,0.477794977,0.324135395
0.18775347,0.122095868,0.263290026,0.791624937,0.535463865,0.286937082
0.093403082,0.098886486,0.199933328,0.295390595,0.535885685,0.193321182
0.085999267,0.115930409,0.210790171,0.637686365,0.521055339,0.201723289
0.183220706,0.135960678,0.405752256,0.836732752,0.565264139,0.312574116
0.135176941,0.108507399,0.391494064,0.781140969,0.51560779,0.164122138
0.10348175,0.148770076,0.159704426,0.842414655,0.560358108,0.424318704
0.012399622,0.149078019,0.00148011,0.832934112,0.435182845,0.259866837
0.094045535,0.124890555,0.219269316,0.779281974,0.501133543,0.20530276
0.064311759,0.113195964,0.090537102,0.478126085,0.455737973,0.088893048
0.132372695,0.157473428,0.280673145,0.850465907,0.583722584,0.343809779
0.217845459,0.111494373,0.176870657,0.853055726,0.531801712,0.478775662
0.06180101,0.112231465,0.348279832,0.400762371,0.490383987,0.140944681
0.155589266,0.157365154,0.424743126,0.744308153,0.576132195,0.25126485
0.128960428,0.130381233,0.365204353,0.787474817,0.532453117,0.278805013
0.07124136,0.114596571,0.241332308,0.827119814,0.575225095,0.185490384
0.136713718,0.13605107,0.09721372,0.841068651,0.497810229,0.375852313
0.181182754,0.132232319,0.324483275,0.834674713,0.543413152,0.402088562
0.143722782,0.119214799,0.385146297,0.859799587,0.567073225,0.645989191
0.119340578,0.138676686,0.091699932,0.803200554,0.488630442,0.236242708
0.158223319,0.163537259,0.424540623,0.732309001,0.567880395,0.203459603
0.165145903,0.153691347,0.163209493,0.857285597,0.537881571,0.467133914
0.095999362,0.142719967,0.263594505,0.760939429,0.606744396,0.200528615
0.138729066,0.14688222,0.439803579,0.841444849,0.578512572,0.423591037
0.020494546,0.104293958,0.001737225,0.823872553,0.467951824,0.232028141
0.081337517,0,0.385006873,0,0.468450555,2.00589E-05
0.013767371,0.121240269,0.001628439,0.675130689,0.438716611,0.323365067
0.183967127,0.095401079,0.153880069,0.772139903,0.529063126,0.272403838
0.058700773,0.125848407,0.132109901,0.766631236,0.388489818,0.159083164
0.131169973,0.132184299,0.355814533,0.864985723,0.525276016,0.449801889
0.198231803,0.118473438,0.410415572,0.645594232,0.553069685,0.20705013
0.195430154,0.090704151,0.38643652,0.834293422,0.511430003,0.405136886
0.147307381,0.13068197,0.151222719,0.563583796,0.558734356,0.269534427
0.129772511,0.124770427,0.391169563,0.845432243,0.601667284,0.275229035
0.042802863,0.14120635,0.006666181,0.850087426,0.425499152,0.310879249
0.111454054,0.142681701,0.440466971,0.819679547,0.603100064,0.18498554
0.105405503,0.120457227,0.370336455,0.730151334,0.505340597,0.194132704
0.063874997,0.140148801,0.226183175,0.276644071,0.47923838,0.197331371
0.064510131,0.091523486,0.10870028,0.773543709,0.625486016,0.183715122
