BM25_TA,BM25_FT,COSINE_TA,COSINE_FT,PMRA_TA,PMRA_FT
0.103433066,0.136670084,0.481279098,0.748661099,0.673752743,0.318754906
0.040210894,0.089359417,0.031919939,0.024235274,0.444324737,0.097985604
0.11601053,0.185350185,0.465272624,0.709331509,0.529040831,0.270179611
0.124614296,0.154773711,0.238885586,0.549700036,0.438602477,0.282437783
0.104810616,0.151788458,0.302617758,0.631711936,0.563682809,0.261918293
0.104700497,0.148028684,0.416199937,0.655415259,0.477208499,0.240278794
0.104192863,0.150069824,0.165121958,0.269526264,0.467175503,0.21220505
0.094299182,0.129804803,0.391430267,0.567802644,0.598131845,0.248825134
0.11702216,0.165037313,0.229573838,0.296642875,0.524028183,0.214749259
0.091228783,0.130150701,0.211993369,0.34828064,0.406975564,0.184301392
0.100147488,0.121866586,0.236276528,0.569731186,0.620039823,0.176107611
0.114436568,0.132406653,0.296315054,0.472128024,0.515332912,0.231108775
0.111002273,0.115537265,0.274651139,0.624986291,0.511391338,0.300973374
0.135974777,0.138304708,0.254929574,0.599061558,0.630112086,0.293604686
0.126980927,0.161122741,0.45013427,0.725047623,0.665884655,0.217534436
0.101019391,0.152099573,0.241504087,0.636994256,0.479121323,0.232404178
0.119817058,0.168779203,0.181926958,0.457329682,0.499037092,0.205970283
0.094493555,0.123041614,0.346994312,0.731112956,0.61102515,0.271974959
0.043932006,0.116529493,0.026933475,0.685185713,0.410795413,0.328058355
0.093524745,0.138878197,0.354641484,0.691576734,0.573587007,0.339744983
0.113875308,0.153942163,0.294188482,0.315503492,0.568082809,0.238103823
0.090306758,0.134778589,0.453486937,0.729259473,0.617891099,0.26897488
0.10599025,0.143949573,0.477123996,0.745124769,0.70105564,0.296038366
0.126393228,0.151344651,0.086820191,0.731307058,0.48499522,0.386502111
0.21332987,0.181815601,0.26738091,0.708138684,0.55515281,0.373603968
0.151091478,0.131487115,0.232422878,0.293647637,0.544665696,0.265829342
0.108258472,0.141541028,0.231723236,0.569872965,0.533742119,0.248249973
0.208235387,0.170922039,0.420113694,0.745177736,0.582337657,0.344624493
0.160405831,0.127093747,0.411252132,0.699328283,0.520459123,0.220091025
0.121236535,0.15259753,0.176194322,0.750633188,0.549679541,0.487678743
0.05182857,0.198133919,0.039527062,0.740293548,0.46852021,0.300020802
0.110686344,0.139554266,0.232074225,0.692731485,0.503402467,0.249973814
0.078725223,0.113835903,0.110716444,0.432887323,0.464058453,0.138635049
0.159573404,0.194877309,0.296955326,0.756764562,0.603528704,0.405288656
0.249138669,0.185530326,0.218706599,0.759420079,0.565341405,0.57360112
0.105598394,0.144229087,0.354463811,0.388028876,0.485223975,0.208451207
0.178954244,0.171623509,0.450272488,0.661111837,0.592337573,0.346208558
0.13856893,0.140428384,0.397977244,0.70094408,0.545900382,0.331839396
0.093189159,0.161002049,0.26455452,0.730276874,0.582710772,0.24034805
0.147421233,0.139011734,0.115780228,0.745263152,0.513419069,0.395204962
0.193064104,0.192020571,0.327439322,0.746435008,0.548689856,0.479644835
0.164104526,0.16004934,0.419559679,0.762447147,0.571103788,0.699588101
0.150614131,0.195555844,0.126890746,0.718795166,0.509005795,0.276636086
0.176884331,0.190623468,0.454150376,0.654894974,0.572219235,0.256178413
0.189020415,0.18528966,0.189181517,0.762491467,0.565392143,0.550446994
0.109801653,0.146643884,0.285741851,0.673759976,0.613236582,0.246500869
0.158057194,0.173239564,0.471184039,0.74909066,0.587195301,0.513485665
0.04682934,0.142014576,0.026699495,0.729257769,0.479811608,0.26545828
0.099780716,0.042289031,0.410965994,0.018432539,0.479645741,0.07956486
0.034519209,0.13758348,0.019880386,0.605992162,0.457517995,0.370985347
0.203492186,0.160810146,0.172538343,0.689811998,0.546394361,0.338626733
0.082669754,0.147291105,0.154579559,0.678046545,0.398873387,0.206124818
0.14573675,0.132339522,0.386121453,0.76343906,0.537153116,0.470364731
0.207761822,0.17900969,0.429425329,0.577273732,0.560346662,0.272759696
0.202596213,0.119229254,0.403956439,0.73871394,0.51637715,0.483437337
0.172437601,0.177497523,0.169531474,0.513912125,0.57110453,0.344241083
0.144429582,0.145855645,0.424175936,0.75289901,0.613234589,0.332093058
0.091732508,0.159222752,0.073406669,0.752587656,0.45533917,0.381741048
0.128280795,0.170562449,0.459776684,0.734691788,0.599521699,0.250263633
0.112024211,0.138722973,0.390527567,0.64553369,0.518304416,0.2375182
0.087514693,0.185505833,0.250647729,0.259829217,0.486556381,0.267719679
0.082468049,0.115532525,0.12445163,0.688597623,0.623541773,0.228842554
