PMID,FC_7576301,FC_8593205,FC_8924224,FC_9015311,FC_9245791,FC_9443089,FC_9569056,FC_9584145,FC_9649126,FC_9681800,FC_9732293,FC_9832560,FC_10330400,FC_10352017,FC_10491393,FC_10525535,FC_10662776,FC_10811821,FC_11056682,FC_11086000,FC_11157977,FC_11285283,FC_11381093,FC_11401727,FC_11532215,FC_11564752,FC_11591730,FC_11690545,FC_11707154,FC_11737944,FC_11790258,FC_11870542,FC_11879553,FC_11983060,FC_12049663,FC_12058019,FC_12095422,FC_12135983,FC_12147673,FC_12175426,FC_12184807,FC_12184811,FC_12225587,FC_12354330,FC_12429061,FC_12429067,FC_12537560,FC_12538638,FC_12556960,FC_12615908,FC_12659637,FC_12682085,FC_12803655,FC_12823867,FC_12930545,FC_12950995,FC_12962547,FC_12967349,FC_14517204,FC_14557250,FC_14562023,FC_14581449,TA_7576301,TA_8593205,TA_8924224,TA_9015311,TA_9245791,TA_9443089,TA_9569056,TA_9584145,TA_9649126,TA_9681800,TA_9732293,TA_9832560,TA_10330400,TA_10352017,TA_10491393,TA_10525535,TA_10662776,TA_10811821,TA_11056682,TA_11086000,TA_11157977,TA_11285283,TA_11381093,TA_11401727,TA_11532215,TA_11564752,TA_11591730,TA_11690545,TA_11707154,TA_11737944,TA_11790258,TA_11870542,TA_11879553,TA_11983060,TA_12049663,TA_12058019,TA_12095422,TA_12135983,TA_12147673,TA_12175426,TA_12184807,TA_12184811,TA_12225587,TA_12354330,TA_12429061,TA_12429067,TA_12537560,TA_12538638,TA_12556960,TA_12615908,TA_12659637,TA_12682085,TA_12803655,TA_12823867,TA_12930545,TA_12950995,TA_12962547,TA_12967349,TA_14517204,TA_14557250,TA_14562023,TA_14581449
7576301,1,0.550457867,0.764895205,0.233184318,0.233184323,0.719390887,0.594707546,0.262917784,0.724192847,0.610617961,0.23371387,0.255250895,0.273998195,0.496100221,0.233184176,0.233184175,0.233184198,0.234261706,0.233210019,0.233184181,0.2331842,0.233225527,0.233184563,0.233184507,0.233206209,0.234742128,0.23318418,0.259343149,0.233328704,0.235829355,0.233184175,0.287948085,0.23320125,0.253182797,0.233186157,0.233214643,0.233202088,0.233184177,0.233184197,0.233184294,0.233185584,0.2331845,0.233184176,0.233273168,0.233187693,0.23366404,0.233184176,0.233184863,0.88308532,0.233908832,0.314741629,0.233184177,0.233207703,0.234658526,0.258895508,0.234876972,0.233184895,0.333083353,0.233184191,0.233184186,0.882236991,0.233418948,1,0.00514832,0.894262418,0.367538818,0.547175932,0.786874167,0.281681763,0.723405378,0.368878153,0.377127441,0.412598494,0.530741216,0.47275846,0.401218155,0.798333248,0.422452514,0.27845118,0.636989024,5.49E-04,0.659235047,0.463127301,0.859877648,0.909555016,0.138543299,0.395915497,0.338227858,0.401438811,0.708427722,0.763636084,0.301418979,0,0.403247837,0.173312096,0.470060423,0.25754447,0.589954076,0.787024781,0.723564881,0.464348464,0.182171843,0.534956708,0.754271235,0.145667029,0.830609694,0.227685993,0.515449542,0.873922706,6.00E-04,0.760443111,0.011553311,0.235539837,0.253648206,0.686517905,0.770323064,0.717926141,0.211763589,0.763808511,0,0.867940807,0.733078061,0.443692667,0.20308965
8593205,0.38481098,1,0.548745425,1.19E-04,1.44E-07,0.420825875,0.413560337,0.065950104,0.537465346,0.357878061,5.45E-04,0.050986391,0.051801779,0.239106654,4.06E-09,1.74E-11,1.98E-08,0.001176651,0.007092773,4.81E-09,1.96E-07,3.95E-05,2.77E-07,8.29E-06,0.037231186,0.001385852,2.82E-08,0.090553149,0.040221069,1.37E-07,1.16E-11,7.83E-05,1.01E-06,8.10E-07,0.030068434,2.62E-05,0.037240659,3.13E-05,1.88E-06,8.00E-05,0.037220861,6.75E-07,7.44E-10,0.007542334,0.037227377,3.20E-04,0.037220713,6.60E-07,0.739580183,0.001169691,0.05180063,3.50E-09,2.32E-05,0.01784659,0.023492276,0.003502149,0.037222785,0.042999149,3.59E-08,4.28E-08,0.720693735,2.12E-04,0.00514832,1,0.057857977,0.002049604,0,0.003811535,0.027713796,0.011086254,0.005179894,0.006138099,0.001714281,0.006347655,1.48E-04,3.09E-04,0.001732431,0.001123815,0.001200213,0.004817976,0.042876988,0,3.59E-04,3.36E-04,1.14E-04,0,0.024442825,0,0,0.030949408,0.003728397,0,0,0.006359497,0,0.007166783,0.030190152,2.89E-04,0.022126111,0.005136227,0,0.01137179,0.027870784,0.004197327,0.012506156,0.001659607,0.035532347,6.03E-04,0.007572553,0.445212504,0.00391803,0,0.036814269,7.90E-05,0.003956724,0,0,0.010974018,0.008474732,0.0208181,0.008294527,0,0.028023289,7.05E-04
8924224,0.557356521,0.501068914,1,0.202816135,0.194684211,0.545424028,0.492752742,0.282922095,0.549542842,0.465479552,0.195135893,0.210910515,0.22459973,0.397481504,0.194694217,0.194683993,0.196672877,0.195480425,0.194710602,0.195379524,0.212740805,0.215994364,0.198089092,0.194687441,0.241252326,0.204086507,0.194682726,0.221185773,0.206892448,0.195905386,0.19468272,0.218525387,0.212148884,0.194682724,0.194698103,0.208624409,0.19480617,0.194682742,0.194684947,0.194682725,0.194682765,0.194682729,0.19468272,0.194924459,0.194783302,0.194946204,0.19468272,0.194731861,0.659417643,0.207969214,0.269385651,0.194682722,0.198005601,0.241619324,0.213166863,0.196859203,0.241238069,0.356153196,0.26273859,0.19473611,0.661383773,0.216131168,0.894262418,0.057857977,1,0.353622483,0.525326296,0.753296733,0.279193706,0.699963354,0.3547431,0.361845992,0.395038186,0.50870958,0.454529836,0.382888441,0.768317498,0.405943618,0.267144335,0.609516105,0.013910573,0.635223307,0.443417694,0.828167488,0.874171526,0.127712036,0.385250483,0.325872444,0.38495134,0.676982312,0.733989093,0.283550616,0,0.38210369,0.167288932,0.44956812,0.247640429,0.566012746,0.756223353,0.696112615,0.444826192,0.175868537,0.514384596,0.72374998,0.138627168,0.796872379,0.229069562,0.495383332,0.838556557,7.53E-04,0.73181772,0.003030594,0.226481998,0.243227412,0.660117408,0.747797884,0.69031782,0.201529385,0.729913693,0.012273218,0.855819492,0.703847657,0.43710773,0.195181376
9015311,0.364444135,0.219166323,0.39078533,1,0.218251523,0.379131436,0.338431794,0.323277639,0.374222485,0.347266525,0.218824809,0.232909339,0.258731459,0.323174578,0.322280198,0.218307327,0.690451305,0.218706457,0.218247615,0.219505324,0.726202766,0.265986091,0.22595034,0.218333757,0.218499222,0.23754431,0.311777683,0.219579874,0.218543798,0.218247837,0.218248298,0.311607138,0.257343958,0.218247631,0.218449067,0.24837972,0.218498168,0.311707123,0.218324571,0.218247458,0.218497037,0.218247442,0.218247407,0.218323418,0.21849746,0.218420734,0.218496979,0.218364394,0.36978,0.244801647,0.220787871,0.310715179,0.218255857,0.218522322,0.227217591,0.218857082,0.218499114,0.219099246,0.252627976,0.218371792,0.384674416,0.2660032,0.367538818,0.002049604,0.353622483,1,0.217958799,0.314078962,0.113363863,0.307639232,0.428440667,0.152023573,0.169078281,0.217672723,0.305177737,0.228573427,0.479852309,0.175174815,0.847472345,0.257856922,1.57E-04,0.264699159,0.35611911,0.348285017,0.366063536,0.052409387,0.161284348,0.281132864,0.166366253,0.283525022,0.392798003,0.119340574,0,0.167144775,0.074180502,0.187419607,0.108748948,0.386810532,0.319924754,0.304447941,0.188438819,0.082696814,0.217509368,0.301832857,0.057721479,0.332345272,0.099510211,0.212578317,0.352904194,0.001657837,0.304434946,0.001079731,0.099938558,0.105816896,0.275259872,0.308412034,0.287434028,0.084463105,0.305787998,0.005324933,0.351796859,0.294050662,0.178294528,0.08318497
9245791,0.352904987,0.22450809,0.375719043,0.198570816,1,0.368264824,0.323436479,0.212172791,0.345642585,0.33516402,0.230391495,0.207164105,0.21403626,0.495140881,0.23290458,0.199019963,0.426073531,0.22580296,0.198567744,0.199126537,0.199120855,0.426001432,0.420056993,0.199150658,0.198567669,0.344101283,0.198568793,0.199984032,0.198608322,0.425493645,0.198569106,0.198582011,0.198585536,0.19856819,0.198567731,0.198646684,0.198568982,0.198570563,0.199139913,0.198567798,0.198567658,0.198567679,0.198567567,0.198595447,0.198567654,0.198675559,0.198567658,0.226400176,0.378945472,0.210338229,0.201249602,0.198574059,0.198576351,0.198733001,0.208032085,0.200976093,0.198567682,0.199463985,0.42867389,0.222291751,0.391036689,0.226333995,0.547175932,0,0.525326296,0.217958799,1,0.462564515,0.166531464,0.427926606,0.220192684,0.222580647,0.24576656,0.316611381,0.281556982,0.288034498,0.486001553,0.251446877,0.209740499,0.383848365,0,0.392093014,0.274243061,0.510680249,0.541489148,0.083866224,0.234310314,0.202400748,0.24024806,0.419104075,0.45287277,0.328860003,0,0.238623103,0.11128434,0.289110559,0.152419711,0.349674106,0.465446396,0.434439493,0.298682848,0.107647991,0.316597544,0.446490898,0.08843281,0.491671886,0.134542964,0.307061972,0.516121495,0.008258185,0.450668746,0.006703401,0.139396951,0.152399585,0.410773351,0.455891826,0.424882332,0.142572429,0.456503661,0,0.547387583,0.440343129,0.262286745,0.18255364
9443089,0.480783287,0.386924982,0.510806385,0.160949646,0.160776451,1,0.419147803,0.212856206,0.518624751,0.447993279,0.161206433,0.203471461,0.202197974,0.343009677,0.1607763,0.162762061,0.160776316,0.202245768,0.160787108,0.160776314,0.16077678,0.160806423,0.160776544,0.160783192,0.265141808,0.161926902,0.160776334,0.215710585,0.232316467,0.16077631,0.160921593,0.16450127,0.160841429,0.196334993,0.214779408,0.16079475,0.227700432,0.16080262,0.160778726,0.16077638,0.228031572,0.196330932,0.160777096,0.202621456,0.227671486,0.165679784,0.227610389,0.160777068,0.634386432,0.161745303,0.179914237,0.160776298,0.164381697,0.246030032,0.179763593,0.195595254,0.229575444,0.23527463,0.160776306,0.160776316,0.632925116,0.16096967,0.786874167,0.003811535,0.753296733,0.314078962,0.462564515,1,0.239781586,0.61512514,0.31401635,0.323437148,0.348518792,0.454022243,0.402362562,0.339028799,0.68099858,0.369490635,0.235644995,0.543718321,0,0.561079656,0.390996989,0.731686929,0.772758539,0.110660221,0.348810193,0.287652587,0.342362719,0.603860856,0.651258264,0.250275468,6.58E-04,0.341640889,0.149987013,0.417841489,0.234100001,0.500023129,0.68542617,0.619438523,0.3937329,0.154773803,0.47416319,0.643786399,0.12267596,0.709920766,0.222557889,0.442555949,0.749183996,1.50E-04,0.646943402,0,0.213203726,0.215087642,0.586815081,0.661490405,0.610886038,0.182321111,0.65948066,0.017636544,0.737493795,0.622766521,0.378770838,0.170710531
9569056,0.454884421,0.463397267,0.531463909,0.140961447,0.133192615,0.489238646,1,0.177276526,0.539102289,0.422185161,0.133772303,0.160822387,0.170813402,0.336739905,0.133202209,0.133192511,0.135082851,0.134020218,0.136542307,0.133760652,0.150260621,0.15346555,0.136429419,0.133199014,0.160999185,0.14223878,0.133191314,0.155563073,0.271850403,0.133191551,0.13319137,0.133240441,0.1497789,0.143302802,0.143433534,0.149882705,0.145868882,0.133231696,0.134406155,0.133234346,0.145830549,0.13463478,0.133399578,0.135813553,0.145967596,0.133443948,0.145846013,0.133279941,0.670544637,0.144672985,0.139015491,0.133191393,0.134285904,0.154597429,0.152769993,0.135184743,0.160994429,0.187342035,0.147747349,0.133245833,0.67170475,0.153589382,0.281681763,0.027713796,0.279193706,0.113363863,0.166531464,0.239781586,1,0.223924036,0.11662854,0.115969197,0.128826687,0.164471449,0.144703004,0.12488376,0.245247133,0.129401821,0.085718284,0.193318553,0.027523522,0.201636382,0.152701104,0.264328653,0.278447231,0.039714414,0.126416837,0.104639063,0.122289941,0.218362694,0.27689019,0.090249599,0.001259655,0.12193614,0.054338047,0.145578146,0.082410166,0.179801638,0.244356112,0.223489745,0.14271107,0.062347736,0.166836619,0.231150585,0.044728652,0.253906423,0.077747708,0.158643636,0.267261327,9.90E-04,0.232804085,0,0.077983781,0.07727073,0.210365788,0.237399704,0.219611355,0.06677953,0.24547846,0.009649909,0.272297804,0.224198793,0.156862009,0.062807522
9584145,0.45634422,0.404654268,0.528478692,0.231158225,0.164106016,0.505958707,0.42426572,1,0.540694982,0.434487291,0.167994359,0.245221811,0.237459117,0.355371968,0.164087618,0.162316485,0.162920732,0.171538663,0.163410334,0.162662398,0.16541913,0.16889826,0.163158035,0.170723833,0.219959772,0.163988262,0.230063661,0.221630593,0.219678504,0.160971233,0.160869131,0.246976828,0.163668014,0.163345603,0.208389272,0.166085025,0.21976363,0.247319237,0.16609363,0.160875928,0.219688826,0.162495489,0.160889549,0.174133326,0.22103683,0.161411739,0.219690324,0.161034014,0.644882265,0.164626586,0.167669785,0.261176948,0.160927565,0.190499916,0.181377756,0.166193107,0.218203746,0.166923356,0.165071906,0.177829905,0.643072167,0.167314022,0.723405378,0.011086254,0.699963354,0.307639232,0.427926606,0.61512514,0.223924036,1,0.305249273,0.296168779,0.328368332,0.431671721,0.37823613,0.326434047,0.637704851,0.332311524,0.222581562,0.500348436,0.004918353,0.516119643,0.374909571,0.673472938,0.71244163,0.123868654,0.328843754,0.293715326,0.336160808,0.563884009,0.600582114,0.23282851,0.001846097,0.380892455,0.135670544,0.373601131,0.225087576,0.463092122,0.635012445,0.591780661,0.369270276,0.15414212,0.439342202,0.597659485,0.115632379,0.651444618,0.205630927,0.403527534,0.693597531,0.005938297,0.596402187,0.008110852,0.214730329,0.21322136,0.540137056,0.604116249,0.562833362,0.166066729,0.601286767,0.020073233,0.685706912,0.576222413,0.349473857,0.157236898
9649126,0.470091967,0.457051912,0.522645248,0.166196353,0.116936614,0.50608665,0.437405627,0.184896711,1,0.438646197,0.117493664,0.138331267,0.263817072,0.378616528,0.257447155,0.116936223,0.247369358,0.117837505,0.118528083,0.117549349,0.265882678,0.141630214,0.120880648,0.116941945,0.116938659,0.270774234,0.1567719,0.119310715,0.188376558,0.116934943,0.116934885,0.156740904,0.137167978,0.136652085,0.116988374,0.413906393,0.116938094,0.156741677,0.116934828,0.1169928,0.116935111,0.119749591,0.117340899,0.116998592,0.117139499,0.117215409,0.116965321,0.116994766,0.739749595,0.130957461,0.124127388,0.156315408,0.116957472,0.117364287,0.138399024,0.118221017,0.116934772,0.119134875,0.134675311,0.116997898,0.729125721,0.141830616,0.368878153,0.005179894,0.3547431,0.428440667,0.220192684,0.31401635,0.11662854,0.305249273,1,0.152514871,0.168876752,0.2204338,0.2720847,0.295370614,0.443010558,0.170730095,0.152056913,0.254991917,0.016240589,0.26630002,0.372863185,0.34742669,0.365971556,0.052217967,0.162212859,0.334955253,0.17246335,0.287021125,0.31568621,0.117986262,0.00331248,0.177025542,0.072776389,0.19503353,0.103409654,0.431334191,0.3222282,0.315462276,0.187185276,0.091385822,0.214796643,0.308518933,0.059069298,0.335304466,0.108047035,0.207493543,0.350164323,0.00228515,0.305524627,0,0.098434495,0.107294525,0.27565173,0.309301306,0.289243299,0.087589493,0.304797252,0.008731564,0.34972091,0.294238398,0.18171323,0.081760434
9681800,0.389977644,0.350636664,0.424597601,0.11653232,0.117029983,0.426684627,0.352073847,0.160239056,0.453618435,1,0.116853865,0.13922606,0.144574683,0.284280805,0.116499947,0.116499693,0.116499707,0.117756222,0.122280551,0.116499689,0.116500004,0.116526857,0.116499906,0.116502152,0.15088044,0.117547303,0.116502186,0.12993552,0.152966742,0.11650017,0.116499743,0.118956285,0.116500376,0.140718775,0.144277005,0.116606014,0.150882503,0.116508235,0.116508769,0.116499712,0.159422369,0.140716245,0.11650023,0.142790924,0.150867192,0.116960986,0.150880372,0.116541297,0.56817227,0.117069057,0.130119425,0.116544106,0.117146732,0.143895119,0.13301141,0.139623052,0.126679843,0.142004926,0.116499704,0.116499727,0.561383594,0.116677609,0.377127441,0.006138099,0.361845992,0.152023573,0.222580647,0.323437148,0.115969197,0.296168779,0.152514871,1,0.167721471,0.218166433,0.193578299,0.166146863,0.3267466,0.173400654,0.113323352,0.266414645,0.001142125,0.269850727,0.188969429,0.351817629,0.372053951,0.0532189,0.164229908,0.138338367,0.169190074,0.289425429,0.31734037,0.120445066,0,0.169400283,0.070886273,0.20697787,0.11449457,0.241788248,0.332548946,0.298710859,0.189119209,0.074434078,0.230508513,0.309899192,0.058997529,0.342874933,0.104015515,0.225889179,0.357598942,2.63E-04,0.313551203,0,0.099899806,0.103922832,0.282688812,0.315230109,0.293788342,0.089549749,0.32123265,0.001986369,0.354631668,0.299451162,0.18651306,0.083409848
