PMID,FC_7576301,FC_8593205,FC_8924224,FC_9015311,FC_9245791,FC_9443089,FC_9569056,FC_9584145,FC_9649126,FC_9681800,FC_9732293,FC_9832560,FC_10330400,FC_10352017,FC_10491393,FC_10525535,FC_10662776,FC_10811821,FC_11056682,FC_11086000,FC_11157977,FC_11285283,FC_11381093,FC_11401727,FC_11532215,FC_11564752,FC_11591730,FC_11690545,FC_11707154,FC_11737944,FC_11790258,FC_11870542,FC_11879553,FC_11983060,FC_12049663,FC_12058019,FC_12095422,FC_12135983,FC_12147673,FC_12175426,FC_12184807,FC_12184811,FC_12225587,FC_12354330,FC_12429061,FC_12429067,FC_12537560,FC_12538638,FC_12556960,FC_12615908,FC_12659637,FC_12682085,FC_12803655,FC_12823867,FC_12930545,FC_12950995,FC_12962547,FC_12967349,FC_14517204,FC_14557250,FC_14562023,FC_14581449,TA_7576301,TA_8593205,TA_8924224,TA_9015311,TA_9245791,TA_9443089,TA_9569056,TA_9584145,TA_9649126,TA_9681800,TA_9732293,TA_9832560,TA_10330400,TA_10352017,TA_10491393,TA_10525535,TA_10662776,TA_10811821,TA_11056682,TA_11086000,TA_11157977,TA_11285283,TA_11381093,TA_11401727,TA_11532215,TA_11564752,TA_11591730,TA_11690545,TA_11707154,TA_11737944,TA_11790258,TA_11870542,TA_11879553,TA_11983060,TA_12049663,TA_12058019,TA_12095422,TA_12135983,TA_12147673,TA_12175426,TA_12184807,TA_12184811,TA_12225587,TA_12354330,TA_12429061,TA_12429067,TA_12537560,TA_12538638,TA_12556960,TA_12615908,TA_12659637,TA_12682085,TA_12803655,TA_12823867,TA_12930545,TA_12950995,TA_12962547,TA_12967349,TA_14517204,TA_14557250,TA_14562023,TA_14581449
7576301,1,0.38481098,0.557356521,0.364444135,0.352904987,0.480783287,0.454884421,0.45634422,0.470091967,0.389977644,0.306205429,0.383870118,0.550466842,0.599806869,0.303251559,0.330183181,0.278806732,0.394910072,0.442950724,0.4283106,0.315325574,0.385913374,0.366573157,0.468268334,0.416149136,0.365482504,0.35000625,0.442489906,0.33886692,0.530477832,0.404323194,0.368007743,0.260612296,0.481819243,0.606518359,0.308320262,0.419628034,0.417338554,0.33542823,0.492486672,0.51082117,0.731075227,0.375022217,0.356420355,0.577248144,0.362321173,0.531305161,0.377654914,0.370064415,0.485068789,0.599554343,0.313356644,0.569662396,0.354424582,0.699256418,0.439299351,0.416308166,0.61829229,0.32972021,0.354276277,0.542395566,0.340267428,1,0.350364204,0.555298476,0.365032874,0.509430694,0.45204019,0.4120161,0.525738486,0.44383,0.365070137,0.539792206,0.447524142,0.432516351,0.539101112,0.567180217,0.41601776,0.427473181,0.541134552,0.311327401,0.51114998,0.483074133,0.552991409,0.64205792,0.431646427,0.499487838,0.460772677,0.465803632,0.5545297,0.492058953,0.506175456,0.354143516,0.45200256,0.382377402,0.535717883,0.481875303,0.401474142,0.550772625,0.489689743,0.506306981,0.448594065,0.504847125,0.536740735,0.433413181,0.563013411,0.473942596,0.556661699,0.566107007,0.367486771,0.428923721,0.373424964,0.475276991,0.336762974,0.494280973,0.555539863,0.51374662,0.49320013,0.584714999,0.321301384,0.54938661,0.477288135,0.422920143,0.530300687
8593205,0.550457867,1,0.501068914,0.219166323,0.22450809,0.386924982,0.463397267,0.404654268,0.457051912,0.350636664,0.242224211,0.314333453,0.459796238,0.552630796,0.215240214,0.221301899,0.213454462,0.270912541,0.242245599,0.231190427,0.223600708,0.28560885,0.223033209,0.245187539,0.285268434,0.24850511,0.218085651,0.409412806,0.267019813,0.214104846,0.225888314,0.227050951,0.222085045,0.225723161,0.34370566,0.23411021,0.314714659,0.223300966,0.220462643,0.217832179,0.262017524,0.238034037,0.214214882,0.254976048,0.289426366,0.234029382,0.314518021,0.221697771,0.437075454,0.264523741,0.344046092,0.216102546,0.237528862,0.256468798,0.437577795,0.278456782,0.26039421,0.288912306,0.225244895,0.233206438,0.477875791,0.245530273,0.518841307,1,0.492168169,0.322815353,0.418067531,0.359989582,0.417692158,0.479129686,0.412468644,0.320620572,0.479985659,0.396066016,0.386866584,0.478025524,0.493406931,0.361629986,0.369009155,0.473801292,0.445159255,0.432273145,0.422915554,0.463995943,0.508994401,0.370567899,0.446457417,0.382141156,0.40119734,0.459616736,0.349357726,0.421674678,0.416001859,0.393614369,0.381418177,0.472119696,0.467513489,0.366176424,0.41731397,0.411622468,0.449202734,0.434715872,0.388728208,0.388004495,0.43298792,0.372947774,0.457843827,0.460346466,0.424362452,0.552243494,0.353517873,0.412592365,0.482085266,0.310571718,0.392476741,0.325713126,0.299144834,0.459177617,0.440356559,0.457637792,0.436406391,0.370190801,0.412006547,0.526725363
8924224,0.764895205,0.548745425,1,0.39078533,0.375719043,0.510806385,0.531463909,0.528478692,0.522645248,0.424597601,0.333274849,0.416401163,0.599177082,0.676209895,0.326270293,0.353248118,0.302743578,0.423427501,0.46442258,0.450020918,0.343853289,0.423225084,0.389946169,0.490482306,0.471427397,0.394181505,0.371932478,0.474139109,0.370576435,0.54604327,0.425670983,0.390966426,0.288639959,0.491082065,0.625942335,0.337179639,0.445620607,0.43785642,0.358194567,0.509704775,0.528128508,0.743623558,0.39554093,0.382597816,0.593778547,0.386169899,0.547349757,0.399250657,0.424814708,0.516398243,0.60048124,0.33617485,0.591403114,0.402320285,0.74213289,0.467666609,0.471693606,0.684470085,0.373549494,0.378391879,0.593429863,0.372430122,0.72831351,0.494213405,1,0.392005423,0.547269069,0.46828782,0.468425314,0.572197811,0.478166854,0.384119745,0.578008759,0.480760888,0.464882397,0.574670171,0.611000532,0.445268234,0.463083456,0.579878889,0.395417896,0.549186744,0.518443833,0.602905963,0.69115637,0.464190081,0.550493571,0.49668183,0.498239765,0.563513697,0.513148264,0.522253671,0.39261981,0.473848141,0.418178936,0.557573853,0.512347,0.436024091,0.575337539,0.517844779,0.540925238,0.483970509,0.532510014,0.566301988,0.459454388,0.569087097,0.530149307,0.591601109,0.581835481,0.408991715,0.462608462,0.401072662,0.506827476,0.362914186,0.52354524,0.605964294,0.535551961,0.514006283,0.58817005,0.38848445,0.634263647,0.505721444,0.479148055,0.574601713
9015311,0.233184318,1.19E-04,0.202816135,1,0.198570816,0.160949646,0.140961447,0.231158225,0.166196353,0.11653232,0.12359778,0.166960527,0.243453781,0.172797099,0.217923422,0.174215236,0.377494816,0.202082197,0.297629309,0.284685312,0.500721007,0.199770839,0.221568093,0.318036895,0.279008232,0.199987093,0.288087546,0.236462832,0.160051811,0.424307359,0.259851462,0.283994207,0.098419572,0.342517592,0.475811263,0.145866122,0.244739548,0.477204893,0.181496212,0.375846103,0.393916427,0.645807887,0.23616969,0.179911709,0.466562882,0.200214032,0.423434048,0.231747367,1.05E-07,0.344428036,0.268676021,0.226387097,0.449481695,0.187914303,0.401741421,0.251914926,0.275047251,0.303780029,0.186243451,0.191327853,0.197311221,0.183503365,0.550350916,0.286060625,0.439984705,1,0.448308528,0.393022335,0.364476571,0.514948359,0.525023447,0.320204318,0.489306505,0.424460262,0.606428695,0.553162402,0.852361419,0.384818896,0.722130268,0.485785134,0.257536789,0.455726297,0.704749638,0.501934426,0.579347415,0.375739332,0.4889977,0.723590952,0.440264519,0.512505414,0.759289337,0.423252529,0.29522199,0.412369439,0.341818601,0.467066445,0.486149024,0.543326809,0.524914428,0.526366405,0.457584294,0.442783281,0.47642975,0.496317752,0.373202483,0.503318708,0.443165251,0.51916702,0.531527911,0.310029572,0.382638739,0.2953863,0.475195426,0.310291834,0.459299715,0.517773285,0.479166544,0.425293507,0.510955553,0.310839816,0.505822348,0.437827033,0.374121454,0.448925847
9245791,0.233184323,1.44E-07,0.194684211,0.218251523,1,0.160776451,0.133192615,0.164106016,0.116936614,0.117029983,0.143029954,0.16176606,0.214974788,0.360513454,0.173101343,0.174564255,0.256658881,0.229317764,0.297629292,0.28442826,0.15410215,0.377006551,0.428396586,0.318850256,0.278432585,0.310347226,0.201665016,0.236255766,0.159857665,0.909209636,0.259852102,0.19891598,0.088517766,0.342518367,0.475021944,0.13432924,0.244237289,0.278466713,0.181954972,0.375846491,0.393556482,0.645808258,0.236169728,0.179838152,0.466029379,0.200177268,0.422564703,0.264123627,1.12E-07,0.333131748,0.26867626,0.159020004,0.449482303,0.187732674,0.401716052,0.254205908,0.274730601,0.303775944,0.341770772,0.214108945,0.197311346,0.183956432,0.672380418,0.392694269,0.521967466,0.39788626,1,0.460446868,0.444215127,0.570078324,0.488888434,0.386105905,0.592423913,0.493919405,0.47749499,0.641319988,0.650673687,0.455420495,0.514088737,0.597402663,0.360593536,0.558920218,0.523570391,0.604651071,0.703618773,0.476703801,0.523152205,0.5028354,0.511823002,0.564171145,0.514812106,0.619385309,0.416001859,0.479904678,0.444917296,0.572116392,0.512698511,0.444092205,0.568790956,0.52911319,0.573173859,0.486939758,0.52675083,0.560661961,0.478671829,0.569182517,0.514616813,0.596317671,0.575204264,0.443458084,0.460983725,0.427070319,0.509325298,0.375808372,0.528121442,0.563524091,0.520567622,0.562138936,0.603134735,0.377423183,0.639062053,0.523174592,0.458604263,0.627618463
9443089,0.719390887,0.420825875,0.545424028,0.379131436,0.368264824,1,0.489238646,0.505958707,0.50608665,0.426684627,0.324451584,0.423948342,0.598668516,0.637200583,0.318745086,0.347079859,0.294651617,0.446051363,0.457411064,0.442707222,0.331414688,0.406834043,0.381482194,0.483237159,0.595124892,0.383090637,0.364769154,0.520282428,0.400924869,0.539625646,0.418822221,0.375869225,0.277763265,0.569413481,0.799891655,0.325642797,0.551885732,0.431221232,0.350756132,0.504089961,0.659178114,0.898983247,0.388840976,0.426370679,0.761138136,0.382075988,0.705859944,0.392184379,0.406903861,0.502709861,0.522096527,0.328717687,0.588455505,0.456259709,0.732811249,0.516142468,0.498426406,0.596637025,0.345663118,0.370500368,0.576743982,0.358073523,0.6914398,0.384605685,0.534130517,0.398577256,0.538031595,1,0.444309655,0.578172171,0.478578744,0.403274389,0.572737075,0.50122687,0.465457475,0.582018821,0.623131942,0.470164527,0.458073302,0.60414202,0.340325801,0.547592016,0.508311539,0.591576622,0.69085365,0.45208269,0.614139239,0.491165599,0.503823332,0.605283562,0.532103731,0.511048667,0.39857044,0.49896007,0.425101876,0.629367968,0.639432545,0.429196981,0.661752047,0.565194942,0.540852891,0.479271044,0.631099333,0.613134349,0.459455482,0.624152208,0.618715669,0.601914779,0.631425921,0.404845979,0.45667794,0.389401952,0.581809294,0.362100924,0.561039789,0.605967534,0.535554977,0.555329776,0.661369218,0.446579342,0.578503738,0.50495975,0.452913698,0.562217473
9569056,0.594707546,0.413560337,0.492752742,0.338431794,0.323436479,0.419147803,1,0.42426572,0.437405627,0.352073847,0.279338483,0.354179554,0.506739067,0.543313651,0.277288972,0.302288419,0.254824766,0.361361672,0.410206026,0.393991009,0.29225197,0.357850888,0.337303973,0.430687855,0.406174573,0.336991114,0.320911169,0.409964109,0.420690353,0.488531091,0.371462369,0.325627553,0.239421175,0.442976475,0.580497024,0.285295349,0.398104783,0.383740836,0.307741931,0.45417553,0.480632579,0.678789438,0.344525143,0.328064226,0.547202888,0.331871411,0.51337452,0.346693097,0.33335943,0.451320546,0.436297451,0.286708061,0.526651286,0.334688435,0.640714016,0.403421121,0.39926827,0.497344331,0.305427495,0.32448388,0.521511803,0.315888078,0.56910944,0.374615969,0.479770094,0.331062339,0.456498115,0.392780114,1,0.481406709,0.411223129,0.326499033,0.49966319,0.410479719,0.393201027,0.487441856,0.516969612,0.378544794,0.387410743,0.486664223,0.358488593,0.463970639,0.451813497,0.503569813,0.580321638,0.381313433,0.481814373,0.419971501,0.419771332,0.503859651,0.558624864,0.433564969,0.322803212,0.395364537,0.346746784,0.477227747,0.455553957,0.36045937,0.508567701,0.451654293,0.458184044,0.423996321,0.46735908,0.491355958,0.390469698,0.500921356,0.444946506,0.49971969,0.511176642,0.331951613,0.394722691,0.316103462,0.455941174,0.303996112,0.457455791,0.514745836,0.473383983,0.448171849,0.556866455,0.319358811,0.525369171,0.437363082,0.408565377,0.468659993
9584145,0.262917784,0.065950104,0.282922095,0.323277639,0.212172791,0.212856206,0.177276526,1,0.184896711,0.160239056,0.139594361,0.253704013,0.301602718,0.213089031,0.159879071,0.185929099,0.131674822,0.222205729,0.311757402,0.295324527,0.168005514,0.196020659,0.228976974,0.345615684,0.465833279,0.20396675,0.297590872,0.397354364,0.22951637,0.431843216,0.270155717,0.312975792,0.10199161,0.353883823,0.728847691,0.150354354,0.412407646,0.511808739,0.195996516,0.384182493,0.514156276,0.654526668,0.246086214,0.215912485,0.64123063,0.212088851,0.69897141,0.242299105,0.026396949,0.339069035,0.284615269,0.267431456,0.45811306,0.256224314,0.432073009,0.27285428,0.381484475,0.321975676,0.183727629,0.218266727,0.22192624,0.17807939,0.638449567,0.360844467,0.500682618,0.399705605,0.510930771,0.446215783,0.420050219,1,0.475611202,0.362362219,0.560443162,0.498722702,0.456035148,0.551606145,0.592534977,0.421660135,0.443502855,0.555149294,0.31902358,0.510037601,0.496887035,0.554138868,0.649244931,0.508643523,0.592069053,0.504822558,0.512347218,0.598117302,0.506601387,0.502578682,0.361214177,0.542240146,0.383806383,0.552101638,0.58275925,0.410044818,0.589081929,0.592731292,0.52076878,0.491637768,0.543820954,0.585476056,0.43517002,0.557547907,0.525256201,0.551239802,0.621399194,0.385601732,0.433746815,0.379097224,0.588085303,0.364304,0.522756165,0.563359952,0.517756415,0.483764706,0.571278266,0.41086312,0.579368304,0.489412545,0.428045048,0.518093653
9649126,0.724192847,0.537465346,0.549542842,0.374222485,0.345642585,0.518624751,0.539102289,0.540694982,1,0.453618435,0.339302379,0.420750723,0.693182173,0.76556943,0.350505869,0.332737148,0.427158107,0.403002928,0.395638787,0.385465076,0.492026789,0.41835607,0.351969636,0.41481992,0.371934738,0.42016396,0.359817906,0.425798446,0.383318447,0.416449848,0.369963429,0.369309673,0.304947687,0.411312881,0.486422009,0.512031389,0.404441414,0.421503415,0.334401842,0.402913912,0.41488283,0.530284638,0.3472119,0.365738357,0.451848396,0.357688604,0.420896878,0.354487337,0.530038276,0.444454916,0.465884628,0.337060404,0.454151859,0.356135257,0.675668258,0.426460184,0.37515234,0.426141443,0.34070413,0.353508719,0.618057929,0.363909779,0.709386807,0.479675347,0.547680097,0.548378181,0.594068291,0.49568559,0.493729447,0.646559371,1,0.426067785,0.656573739,0.54515186,0.632337597,0.75963321,0.825124725,0.499110193,0.594209627,0.642996519,0.449891971,0.609103133,0.685107957,0.655177633,0.736261029,0.508544932,0.549949257,0.720791497,0.571829069,0.577291393,0.543015106,0.575831098,0.507930631,0.538107699,0.500555648,0.624340018,0.544224186,0.652616006,0.600429546,0.604385374,0.613891725,0.572234612,0.543005351,0.588581477,0.528731517,0.583717337,0.583622965,0.644659108,0.592051623,0.522257783,0.49554682,0.49835444,0.553861493,0.422718879,0.54553834,0.555385039,0.516388667,0.587580149,0.62510994,0.467359689,0.621299832,0.539968914,0.512783982,0.675447186
9681800,0.610617961,0.357878061,0.465479552,0.347266525,0.33516402,0.447993279,0.422185161,0.434487291,0.438646197,1,0.285206043,0.36284006,0.512413994,0.548154003,0.285220034,0.312024386,0.260470823,0.373595885,0.437418316,0.411066031,0.296599793,0.361646989,0.348972042,0.450273144,0.482149219,0.345091859,0.332622449,0.423733672,0.347265734,0.515967115,0.38718104,0.341840603,0.240923091,0.53924591,0.703761951,0.28829885,0.4713717,0.400780657,0.317477765,0.478095981,0.610966875,0.875809818,0.358593136,0.381424559,0.689967844,0.343468779,0.608647228,0.360462044,0.357373163,0.465628673,0.475983058,0.29545754,0.557460999,0.381486942,0.665294272,0.472283418,0.407667143,0.521540204,0.311106531,0.335271751,0.502854254,0.31959038,0.568629134,0.308069771,0.441396881,0.332092581,0.448589172,0.416334803,0.368985223,0.468920344,0.399324543,1,0.471161451,0.406647242,0.382874798,0.483178888,0.502916455,0.372979668,0.378796946,0.514021469,0.262267502,0.454094126,0.4239766,0.492702561,0.588856887,0.372736367,0.471558389,0.410653643,0.413809472,0.501654903,0.474442248,0.420839426,0.297504878,0.420057823,0.331384442,0.514240167,0.522215703,0.360072538,0.576926851,0.470423911,0.441718591,0.396405272,0.54742675,0.525165745,0.375217992,0.54693853,0.486780752,0.504603666,0.513895487,0.30792469,0.401373247,0.295066569,0.445180202,0.296087246,0.474029989,0.519198842,0.480471238,0.467104244,0.569131897,0.283119402,0.489177723,0.426938606,0.392173021,0.449323568
