PMID,FC_7576301,FC_8593205,FC_8924224,FC_9015311,FC_9245791,FC_9443089,FC_9569056,FC_9584145,FC_9649126,FC_9681800,FC_9732293,FC_9832560,FC_10330400,FC_10352017,FC_10491393,FC_10525535,FC_10662776,FC_10811821,FC_11056682,FC_11086000,FC_11157977,FC_11285283,FC_11381093,FC_11401727,FC_11532215,FC_11564752,FC_11591730,FC_11690545,FC_11707154,FC_11737944,FC_11790258,FC_11870542,FC_11879553,FC_11983060,FC_12049663,FC_12058019,FC_12095422,FC_12135983,FC_12147673,FC_12175426,FC_12184807,FC_12184811,FC_12225587,FC_12354330,FC_12429061,FC_12429067,FC_12537560,FC_12538638,FC_12556960,FC_12615908,FC_12659637,FC_12682085,FC_12803655,FC_12823867,FC_12930545,FC_12950995,FC_12962547,FC_12967349,FC_14517204,FC_14557250,FC_14562023,FC_14581449,TA_7576301,TA_8593205,TA_8924224,TA_9015311,TA_9245791,TA_9443089,TA_9569056,TA_9584145,TA_9649126,TA_9681800,TA_9732293,TA_9832560,TA_10330400,TA_10352017,TA_10491393,TA_10525535,TA_10662776,TA_10811821,TA_11056682,TA_11086000,TA_11157977,TA_11285283,TA_11381093,TA_11401727,TA_11532215,TA_11564752,TA_11591730,TA_11690545,TA_11707154,TA_11737944,TA_11790258,TA_11870542,TA_11879553,TA_11983060,TA_12049663,TA_12058019,TA_12095422,TA_12135983,TA_12147673,TA_12175426,TA_12184807,TA_12184811,TA_12225587,TA_12354330,TA_12429061,TA_12429067,TA_12537560,TA_12538638,TA_12556960,TA_12615908,TA_12659637,TA_12682085,TA_12803655,TA_12823867,TA_12930545,TA_12950995,TA_12962547,TA_12967349,TA_14517204,TA_14557250,TA_14562023,TA_14581449
7576301,1,0.615256957,0.688270417,3.38E-04,2.66E-07,0.678968982,0.462065057,0.098837435,0.688346481,0.443401922,8.09E-04,0.082115362,0.107115536,0.306942568,2.00E-08,1.27E-09,3.95E-08,0.003031811,2.86E-05,2.19E-08,3.54E-08,5.36E-05,4.95E-07,3.26E-05,0.063837766,0.001847101,7.60E-08,0.086790929,0.063990748,0.002876482,1.78E-10,0.040854574,2.07E-05,0.034345694,0.055148402,3.95E-05,0.063842735,3.20E-04,1.52E-07,5.28E-07,0.063818967,4.07E-07,4.27E-10,0.014059842,0.063819156,0.00118161,0.063817099,1.68E-06,0.008013513,0.002057287,0.072377309,1.37E-08,4.93E-05,0.032498594,0.033200735,0.004906459,0.063817925,0.093949927,3.49E-08,3.43E-08,6.09E-05,3.08E-04,1,0.588569506,0.664955652,0.393208076,0.539119254,0.657351936,0.436084206,0.503685791,0.652098945,0.399276516,0.418444586,0.414368274,0.616508672,0.569369463,0.486273701,0.210493659,0.438736574,0.438837298,0.70107808,0.383862619,0.305571769,0.466277167,0.343899934,0.825551154,0.877110398,0.814050901,0.254273991,0.761948277,0.817823113,0.73493484,0.696973599,0.478691955,0.508645821,0.639705445,0.821600888,0.410559099,0.727381885,0.631858542,0.460641822,0.778617354,0.808610475,0.774963615,0.738634519,0.73143616,0.77132864,0.584773281,0.726437843,0.414207788,0.37820093,0.761579505,0.813485074,0.246896109,0.723013183,0.782380009,0.71079393,0.764583595,0.600863212,0.823599338,0.492186209,0.531444042,0.305232356,0.55344834
8593205,0.465352186,1,0.643329002,2.10E-04,1.94E-07,0.505940812,0.480161564,0.073710831,0.580295048,0.395913433,7.00E-04,0.055837288,0.063027985,0.254953442,1.59E-08,7.74E-11,3.10E-08,0.002971571,0.015766308,1.74E-08,3.16E-07,4.59E-05,3.54E-07,2.07E-05,0.039616152,0.001507542,4.81E-08,0.09639301,0.045683065,3.61E-07,1.65E-11,1.27E-04,1.22E-06,9.63E-07,0.034218609,3.57E-05,0.039626281,1.99E-04,9.81E-06,3.06E-04,0.0398329,9.48E-07,1.08E-09,0.008803376,0.039608082,3.79E-04,0.039598345,1.35E-06,3.30E-04,0.001351005,0.108681583,8.81E-09,4.08E-05,0.019562301,0.026338297,0.004155177,0.039600932,0.079535797,7.23E-08,1.46E-07,0.050948763,2.42E-04,0.429251318,1,0.594513751,0.309496273,0.41674771,0.469921836,0.435860643,0.386710992,0.517078872,0.341797522,0.321665771,0.316899391,0.468564885,0.436802652,0.383187451,0.16603513,0.340330976,0.349224099,0.629530672,0.302656308,0.222289428,0.372677288,0.270203306,0.648419053,0.698632552,0.648419053,0.19999488,0.624410786,0.649713092,0.574943399,0.556477801,0.343623312,0.404907788,0.489990017,0.65270018,0.312825022,0.580829452,0.493179092,0.360096014,0.638028503,0.650666999,0.633455844,0.602219826,0.55179655,0.619799899,0.459802085,0.567040516,0.327444869,0.318294292,0.589983234,0.645322391,0.193544165,0.580220197,0.624668003,0.576403479,0.621493529,0.48107974,0.655364492,0.402366915,0.419747753,0.303254433,0.427930035
8924224,0.53770196,0.590553109,1,0.015564285,2.51E-06,0.540214889,0.397548867,0.140433972,0.542204524,0.347838767,7.40E-04,0.059329492,0.054687666,0.255615642,5.86E-05,7.05E-06,0.0039648,0.002428945,3.21E-05,0.002842323,0.026741248,0.030362261,0.005628638,3.79E-05,0.087195674,0.013207844,1.47E-07,0.069664208,0.05733533,0.00286474,1.31E-11,0.037772841,0.025026392,1.07E-06,0.038481853,0.021052291,0.044661963,2.24E-04,1.04E-05,2.55E-07,0.04450799,2.91E-08,1.22E-10,0.009988188,0.044624063,4.96E-04,0.044507916,1.30E-04,4.47E-04,0.019409811,0.083519662,1.14E-08,0.004792678,0.064501575,0.025357961,0.004576254,0.087180034,0.141923196,0.067278091,1.70E-04,3.16E-05,0.030516867,0.523183265,0.574000002,1,0.310505705,0.420387454,0.526328174,0.372586733,0.401361252,0.500479361,0.30717852,0.319617678,0.325040556,0.471202879,0.441459709,0.388940663,0.162112522,0.355509318,0.346081123,0.588098435,0.301499351,0.253656016,0.384965033,0.278977344,0.647155757,0.688972136,0.639574919,0.198302388,0.581712792,0.636358455,0.566478522,0.544443462,0.369026552,0.403452258,0.480766885,0.64072016,0.329852436,0.564004626,0.493672593,0.355337134,0.610607571,0.632096336,0.605747378,0.573524115,0.533780849,0.610019597,0.454219425,0.556168413,0.325407851,0.301103573,0.589941977,0.634086019,0.190259805,0.564450551,0.621026489,0.555239264,0.592166958,0.436268584,0.652557826,0.439409042,0.414016838,0.315329165,0.433491671
9015311,0.196565913,0.22514412,0.225880188,1,6.18E-06,0.218971305,0.173793089,0.098502277,0.334254069,0.16670137,9.19E-04,0.017587921,0.048600411,0.184137768,0.423157864,1.46E-04,0.338350322,0.001325785,3.52E-07,0.00441421,0.378633825,0.053994923,0.010148497,1.78E-04,3.79E-04,0.353239183,0.082787325,0.00193465,4.53E-04,6.04E-07,2.55E-06,0.082669482,0.044455906,2.85E-07,3.24E-04,0.367730526,3.79E-04,0.082784194,1.50E-04,1.05E-07,3.75E-04,5.61E-08,1.65E-06,0.006078709,3.76E-04,2.25E-04,3.75E-04,2.46E-04,3.44E-05,0.031329516,0.00384854,0.082411018,0.018148545,4.54E-04,0.012158255,0.00170135,3.79E-04,0.001825252,0.045020649,3.18E-04,4.65E-06,0.054044346,0.339350311,0.376447434,0.358336398,1,0.363813722,0.383710878,0.279909935,0.35050761,0.570152174,0.267090289,0.282888176,0.284937867,0.537931711,0.444894601,0.587015044,0.170201153,0.518666258,0.301528666,0.47782026,0.263750995,0.617658821,0.328676292,0.23621573,0.558304282,0.588802643,0.730772731,0.196569004,0.50787812,0.603570189,0.496014212,0.476888769,0.307415434,0.362544903,0.415546044,0.558255636,0.600315918,0.492447593,0.451465295,0.318113435,0.539870526,0.54133933,0.531533169,0.502361086,0.472839889,0.518165466,0.411373126,0.485755789,0.284839936,0.259541331,0.507211659,0.547530368,0.190195915,0.491183489,0.535326216,0.488789167,0.522623946,0.393390904,0.557852079,0.347401547,0.363394617,0.205061026,0.369443486
9245791,0.208656141,0.239176369,0.234151368,7.73E-06,1,0.232492248,0.179859566,0.019045176,0.287889063,0.177722032,0.038525221,0.011614075,0.020914461,0.511279174,0.041592477,0.001112658,0.193712441,0.03841901,3.47E-07,0.001287681,0.001171812,0.193571937,0.189429842,0.001210203,1.74E-07,0.332680679,1.93E-06,0.002253688,6.60E-05,0.192523796,2.20E-06,2.24E-05,2.34E-05,8.43E-07,3.30E-07,0.207518424,2.36E-06,2.29E-05,0.001186794,3.59E-07,1.55E-07,1.99E-07,5.52E-08,4.06E-05,1.52E-07,1.44E-04,1.55E-07,0.092820405,6.23E-05,0.011149329,0.003694823,2.40E-05,1.89E-05,2.26E-04,0.012915556,0.004532572,3.66E-07,0.001363472,0.198829895,0.034030036,1.91E-06,0.034283436,0.423401835,0.463754335,0.458056634,0.335630342,1,0.462086065,0.354364963,0.410344936,0.564619806,0.329698683,0.361208518,0.35839638,0.522020413,0.686003956,0.452504433,0.185649613,0.486980883,0.401909919,0.610432988,0.34127421,0.273757675,0.414358289,0.310790024,0.730210483,0.746842154,0.742738449,0.232411569,0.648488366,0.710894554,0.67406496,0.610432988,0.387365907,0.467750893,0.544004909,0.698194561,0.436432091,0.606431323,0.553522109,0.419902322,0.680945201,0.680945201,0.672928518,0.647136085,0.602188915,0.647187054,0.508662536,0.610432988,0.390463675,0.333346439,0.663321841,0.685234803,0.220452257,0.631974178,0.685234803,0.6225373,0.68088496,0.487944813,0.706909231,0.475193044,0.484409392,0.259574445,0.519039574
9443089,0.469045161,0.445759448,0.482586813,3.44E-04,2.57E-07,1,0.497568897,0.057556773,0.541920377,0.334364218,6.27E-04,0.047897853,0.053858599,0.220850571,2.57E-08,0.010279671,5.33E-08,0.065319297,1.72E-05,6.58E-08,7.05E-07,8.70E-05,3.45E-07,1.65E-05,0.097280353,0.001450073,2.65E-07,0.055774172,0.090776547,3.22E-08,2.78E-04,0.003889162,1.31E-04,0.02926204,0.052431627,2.89E-05,0.060777631,1.58E-04,1.60E-05,1.74E-07,0.061217227,0.029259183,9.03E-07,0.036208599,0.060742393,0.008049378,0.060654634,1.92E-06,2.34E-04,0.001153993,0.049836243,7.98E-09,0.005340068,0.079210112,0.023724568,0.030139954,0.09727377,0.099533697,2.48E-08,1.81E-07,5.15E-06,2.51E-04,0.440868705,0.420667325,0.451277062,0.294078664,0.381845325,1,0.478438542,0.346555778,0.500464019,0.299866768,0.286872026,0.295367973,0.425451287,0.403767552,0.362829599,0.201170155,0.306137366,0.326797425,0.505347923,0.279337669,0.203057548,0.341216782,0.243919717,0.584811773,0.629371564,0.58849914,0.195408314,0.54465248,0.588087424,0.51979266,0.50318226,0.353358809,0.382600622,0.461312166,0.588819042,0.292249205,0.533389752,0.461267175,0.328675131,0.559863754,0.595457604,0.57090447,0.528697284,0.511516465,0.568137125,0.434296933,0.52191466,0.298213878,0.275739898,0.532108271,0.577474063,0.17366236,0.522166452,0.572040317,0.517494673,0.556935332,0.451540547,0.597370232,0.352105176,0.383574238,0.216467435,0.386683119
9569056,0.456935215,0.589251204,0.545471938,0.011057964,1.94E-06,0.656729912,1,0.058887338,0.593281105,0.37780652,9.24E-04,0.035273469,0.077454969,0.260777082,4.20E-05,5.05E-06,0.002840428,0.002582395,0.00729783,0.00206439,0.01909393,0.021786884,0.004033488,2.07E-05,0.031350178,0.010081663,2.61E-08,0.026353011,0.139846974,3.77E-07,8.64E-08,8.31E-05,0.017916141,0.0096458,0.012549793,0.02207875,0.014524441,3.51E-04,0.007349809,1.33E-04,0.014579442,0.001740166,2.70E-04,0.003303581,0.014641534,3.41E-04,0.014485135,2.24E-04,0.008286267,0.012980156,0.02231337,3.32E-07,0.001918008,0.024291274,0.02652867,0.002703288,0.031345554,0.075549911,0.0180853,1.35E-04,0.059245379,0.021957538,0.412141216,0.537505832,0.482663692,0.313655177,0.429264353,0.618646652,1,0.386188595,0.532130039,0.323797229,0.338292392,0.316990739,0.488259243,0.45523887,0.39425572,0.169348889,0.350822053,0.347255783,0.620953633,0.310676222,0.241743084,0.387316262,0.276403538,0.661134196,0.702343033,0.662732905,0.203847202,0.60660706,0.683130988,0.586615502,0.568828796,0.337014381,0.416562184,0.498389127,0.65307226,0.319366479,0.573468098,0.502901225,0.372908339,0.639477317,0.641808941,0.632192627,0.598764934,0.560061286,0.61523285,0.470257912,0.569891186,0.336851266,0.313841237,0.600825166,0.644566781,0.19656819,0.585911084,0.639974998,0.582228607,0.625130106,0.545033978,0.667557332,0.41940968,0.438216245,0.300873513,0.436504367
9584145,0.363087511,0.396512687,0.41790757,0.058324976,0.003128103,0.383668832,0.292820521,1,0.469101314,0.290089719,0.010724628,0.081503582,0.081146272,0.207019733,0.003068202,0.002206436,0.002560926,0.013868856,0.002251254,0.00248741,0.005844382,0.009615,0.002823241,0.01721053,0.048907162,0.003627905,0.057272494,0.052051408,0.05285728,1.10E-04,8.71E-09,0.199687961,0.003677561,0.001547882,0.041969072,0.007329755,0.048658202,0.074169422,0.008113812,2.03E-05,0.048563389,8.49E-04,2.02E-05,0.01166076,0.050034228,6.41E-04,0.048564622,3.24E-04,8.15E-05,0.004376526,0.055281163,0.090183359,6.37E-05,0.025212301,0.022679896,0.004922162,0.051522222,0.055135774,0.005731605,0.016442006,4.98E-04,0.007451908,0.448943904,0.497426269,0.485615079,0.381458158,0.470686213,0.483080019,0.370307014,1,0.586114663,0.339086171,0.368756941,0.387454726,0.538419202,0.49959579,0.437281966,0.187777696,0.392976241,0.395341178,0.63230155,0.337316235,0.277197684,0.414363737,0.303992977,0.760922192,0.767983823,0.734009958,0.289282569,0.65604028,0.717473643,0.641583178,0.618351876,0.616664263,0.450396455,0.544077217,0.721622573,0.376232601,0.641830425,0.642636791,0.414132771,0.696838,0.702506018,0.694923089,0.652865227,0.610838668,0.67030381,0.508938624,0.640748339,0.381296147,0.340232262,0.669073986,0.71395925,0.28225412,0.636220678,0.693241064,0.629450914,0.672414627,0.490181466,0.725756237,0.452628834,0.476704893,0.268550637,0.472591001
9649126,0.38843697,0.457082213,0.431319633,0.145404806,2.67E-06,0.466076226,0.345696931,0.064427374,1,0.330750019,7.22E-04,0.023722575,0.22766754,0.265902203,0.096589774,0.01516889,0.259886023,0.087007163,0.002288869,0.002474076,0.283260959,0.031228232,0.005793036,2.00E-05,3.50E-06,0.173037528,0.032625706,0.002650642,0.146076688,2.59E-07,1.24E-07,0.032634162,0.025906695,0.013856962,5.82E-05,0.295872677,4.33E-06,0.032622419,2.39E-05,1.32E-04,2.82E-07,0.00249997,3.88E-04,7.46E-05,1.83E-04,0.011190966,2.44E-05,1.39E-04,7.12E-05,0.018221703,0.008360345,0.032464502,3.86E-05,4.74E-04,0.023521608,0.001502662,2.98E-08,0.002655552,0.02598186,1.78E-04,8.44E-06,0.03143239,0.358021318,0.416390424,0.381944889,0.532863283,0.396476997,0.434295264,0.317067629,0.370015243,1,0.286984007,0.304109937,0.30858727,0.535828067,0.457920557,0.485285051,0.233895206,0.450321106,0.339356397,0.544159645,0.29074451,0.383985923,0.359346247,0.256435376,0.60939563,0.643014896,0.696134667,0.215462006,0.552006883,0.621317619,0.540341918,0.526012946,0.341822837,0.412572417,0.464469104,0.598177231,0.538433796,0.535692647,0.491726598,0.342664577,0.596106758,0.583398866,0.583628838,0.552379635,0.51750535,0.565928697,0.462708913,0.522987624,0.313420239,0.283476358,0.55447662,0.590188229,0.195249178,0.536842947,0.587073976,0.534794329,0.571923381,0.408810014,0.611534555,0.371617081,0.398750494,0.227444666,0.402936115
9681800,0.354759655,0.404053912,0.389644849,6.33E-05,8.97E-04,0.390464442,0.29603377,0.05584199,0.459595972,1,5.02E-04,0.028321935,0.035356005,0.202012555,1.27E-06,3.45E-08,4.44E-08,0.003454786,0.01367536,1.88E-08,4.26E-07,0.001865255,3.11E-07,6.82E-06,0.035610414,0.001334396,5.37E-06,0.015798435,0.040660135,7.26E-07,7.41E-08,0.002829671,8.29E-07,0.023685264,0.030777053,1.32E-04,0.035613684,5.99E-05,3.81E-05,6.84E-08,0.044046149,0.023683272,7.31E-07,0.026365588,0.035600186,6.17E-04,0.035610352,1.07E-04,0.004780377,7.31E-04,0.02690009,1.39E-04,0.001026106,0.028049424,0.020886929,0.023188939,0.0356326,0.037545489,4.87E-08,1.70E-07,0.066718618,2.29E-04,0.328377148,0.369057496,0.344372116,0.249305869,0.340494029,0.364336814,0.269984577,0.300029165,0.415283465,1,0.259235085,0.252543021,0.38027968,0.363293754,0.30922447,0.135025223,0.276963002,0.289387705,0.455186113,0.247135056,0.183680375,0.302636679,0.21874087,0.527099904,0.557392836,0.527099904,0.165337367,0.476067162,0.533142464,0.467986147,0.452360852,0.295648934,0.329149575,0.411523861,0.526908075,0.256849786,0.467714348,0.404386433,0.29272208,0.504613868,0.519950938,0.499692525,0.476523046,0.454437936,0.49147866,0.385165065,0.454934604,0.266986175,0.261894081,0.479597421,0.512825402,0.158651718,0.468767039,0.507792673,0.461330742,0.495919172,0.379165861,0.526519644,0.315594948,0.34207672,0.229657795,0.351478478
